Tempo	População	R	Temps
0	160	0.26	28
1	200.46355244813202	0.2528972028008251	27.775701141078688
2	250.63504986501118	0.25027740356871386	27.692970639012017
3	308.820324930329	0.23215138942719948	27.120570192437878
4	376.06706052800587	0.217753593818179	26.665902962679336
5	462.4201446099083	0.22962150410264837	27.040679076925738
6	581.9770977621872	0.2585461609877218	27.95408929434911
7	732.9163860341944	0.2593560620381755	27.979665116995015
8	919.589865582311	0.2546995579648662	27.832617619943143
9	1158.683230633712	0.26	28
10	1448.3806992147345	0.25002300967329955	27.68493714757788
11	1804.2860663445463	0.2457263945334071	27.549254564212855
12	2194.2895494019167	0.21615390726123107	26.615386545091507
13	2650.357686108539	0.20784318862154258	26.35294279857503
14	3215.456648650247	0.21321611249062397	26.522614078651284
15	3975.179960038955	0.2362722917466845	27.2507039498953
16	4872.17621693232	0.22564921988703504	26.915238522748474
17	6034.314844861818	0.23852557382688794	27.32186022611225
18	7474.654570154141	0.2386915105231481	27.32710033230994
19	9069.78240105811	0.21340488927384307	26.52857545075294
20	10727.862117765088	0.18281361595990891	25.562535240839228
21	12445.420511086617	0.1601025791035562	24.845344603270195
22	14123.416329717815	0.13482837459259872	24.04721182923996
23	16026.848982755422	0.1347714043543767	24.04541276908558
24	18571.668468345957	0.15878476725703927	24.803729492327555
25	21812.9877175059	0.17453032045475803	25.30095748804499
26	25220.122840141732	0.15619754463536656	24.722027725327365
27	29683.896141855603	0.17699252814935085	25.37871141524266
28	34578.37377292908	0.1648866310434245	24.99641992768709
29	39519.271254106956	0.1428898164391419	24.301783677025533
30	46253.26555108787	0.1703977346566352	25.170454778630585
